Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning_domains_subset,0.921415785,0.89896636,0.94386521,0.99540234,0.989676778,1.001127902,0.61018613,0.587669718,0.632702543
PlmDomainsMLP__esm-2_with_minor_reactions_global_tuning,0.902197721,0.87581157,0.928583872,0.998292603,0.998001914,0.998583292,0.498197321,0.487452709,0.508941932
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.901568412,0.876385249,0.926751575,0.995579756,0.992145933,0.999013579,0.539855312,0.52023891,0.559471715
PlmRandomForest__ankh_large_with_minor_reactions_global_tuning,0.899656259,0.876260024,0.923052493,0.995934367,0.992520402,0.999348332,0.588883371,0.567393582,0.610373159
PlmDomainsRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.898953757,0.870385717,0.927521797,0.994392207,0.98991624,0.998868174,0.557954897,0.53143834,0.584471454
PlmRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.898569036,0.869691961,0.92744611,0.995150518,0.990954305,0.99934673,0.554227183,0.531592086,0.576862279
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.89751776,0.869694547,0.925340974,0.995426519,0.99195698,0.998896058,0.555626838,0.532673602,0.578580073
PlmDomainsRandomForest__ankh_base_with_minor_reactions_global_tuning,0.8951364,0.864438004,0.925834797,0.996720999,0.993725574,0.999716424,0.579421198,0.55261256,0.606229836
PlmDomainsRandomForest__esm-2_with_minor_reactions_global_tuning,0.893662715,0.866092593,0.921232838,0.995655523,0.991673908,0.999637139,0.559212343,0.533554108,0.584870578
PlmRandomForest__ankh_base_with_minor_reactions_global_tuning,0.893148837,0.866690436,0.919607237,0.996113522,0.992844945,0.999382099,0.597194254,0.575326502,0.619062006
PlmRandomForest__esm-2_with_minor_reactions_global_tuning,0.892532782,0.865625377,0.919440187,0.996265273,0.992794431,0.999736115,0.582844081,0.559358231,0.60632993
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions_global_tuning,0.891536092,0.867548761,0.915523423,0.995781418,0.992601939,0.998960896,0.582172473,0.553397924,0.610947022
PlmRandomForest__tps_ankh_base_with_minor_reactions_global_tuning,0.889594724,0.864864624,0.914324825,0.99563789,0.991714011,0.99956177,0.581226345,0.557763813,0.604688877
PlmDomainsRandomForest__ankh_large_with_minor_reactions_global_tuning,0.88879744,0.861405232,0.916189647,0.995967695,0.992856031,0.999079358,0.558667902,0.531216923,0.58611888
PlmDomainsRandomForest__esm-1v_with_minor_reactions_global_tuning,0.888284547,0.855700777,0.920868316,0.995417844,0.99129676,0.999538928,0.557208489,0.530601179,0.5838158
PlmDomainsRandomForest__ankh_large_with_minor_reactions,0.887639444,0.863688071,0.911590817,0.994117252,0.989368687,0.998865817,0.58666019,0.563913243,0.609407137
PlmRandomForest__tps_esm-1v_with_minor_reactions,0.887554345,0.859482562,0.915626127,0.99431026,0.989445008,0.999175511,0.596150865,0.575652798,0.616648932
PlmRandomForest__ankh_large_with_minor_reactions,0.885601145,0.861325113,0.909877177,0.994424579,0.989795929,0.999053228,0.592728918,0.569635696,0.615822139
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions,0.885555111,0.855566945,0.915543277,0.994788888,0.99015057,0.999427206,0.589276609,0.568958128,0.609595091
PlmDomainsMLP__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.885406636,0.854987777,0.915825495,0.996359497,0.994192885,0.998526109,0.492826941,0.480798506,0.504855376
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions,0.884119479,0.854955017,0.913283942,0.994539529,0.989541322,0.999537735,0.589128735,0.563306614,0.614950856
PlmRandomForest__esm-1v_with_minor_reactions_global_tuning,0.882388416,0.848098392,0.91667844,0.996146988,0.992719187,0.99957479,0.540933852,0.521855704,0.560011999
PlmDomainsRandomForest__tps_esm-1v_with_minor_reactions,0.882161847,0.853996236,0.910327459,0.993095083,0.988000839,0.998189326,0.580496424,0.560310119,0.600682729
PlmXgb__tps_esm-1v-subseq_with_minor_reactions,0.881538123,0.854433836,0.90864241,0.994650541,0.989547626,0.999753456,0.495761111,0.48020208,0.511320142
PlmDomainsMLP__tps_esm-1v_with_minor_reactions,0.881144119,0.854583461,0.907704776,0.99606519,0.993867004,0.998263376,0.491674577,0.478942181,0.504406972
DomainsRandomForest__with_minor_reactions_global_tuning,0.880452603,0.847284685,0.913620521,0.985671845,0.978546048,0.992797643,0.628004095,0.608338257,0.647669933
PlmRandomForest__ankh_base_with_minor_reactions,0.879630988,0.850749904,0.908512073,0.994740552,0.990131803,0.999349302,0.596696648,0.57637141,0.617021886
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions_global_tuning,0.879198716,0.848571016,0.909826416,0.995855245,0.993633024,0.998077465,0.488603968,0.475644532,0.501563404
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions,0.878992227,0.849065736,0.908918717,0.994517897,0.989848476,0.999187317,0.597482094,0.577270738,0.61769345
PlmRandomForest__tps_ankh_base_with_minor_reactions,0.878926783,0.850210548,0.907643017,0.994512112,0.989835982,0.999188242,0.596384317,0.575252736,0.617515898
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions_global_tuning,0.878874528,0.845086231,0.912662825,0.994798917,0.99232883,0.997269004,0.48902202,0.476308017,0.501736023
PlmDomainsRandomForest__ankh_base_with_minor_reactions,0.878308559,0.848688827,0.907928291,0.994348791,0.989660202,0.999037381,0.597117646,0.576198524,0.618036768
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions,0.878120397,0.84377361,0.912467183,0.994574171,0.992010399,0.997137942,0.488321947,0.475362662,0.501281231
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.877802823,0.846757051,0.908848595,0.995601391,0.993359201,0.997843581,0.488655197,0.47572631,0.501584085
PlmDomainsMLP__tps_esm-1v_with_minor_reactions_global_tuning,0.876509042,0.851498181,0.901519903,0.996400208,0.993958196,0.998842219,0.491861742,0.480582211,0.503141272
