Model,Class,Average Precision,ROC-AUC,MCC-F1 summary,Average Precision sem,ROC-AUC sem,MCC-F1 summary sem
Foldseek__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.6833260317496935,0.9202458169084335,0.24936432819503188,0.06090415208872366,0.0183204104449714,0.0038393264013178796
Foldseek__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,1.0,1.0,0.21191174127893286,,,
Foldseek__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.213357665323969,0.663793489088968,0.21497975966493937,0.10721033301115432,0.06800548656064738,0.0012182001144070496
Foldseek__with_minor_reactions,Plants_|_CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.5151926964304396,0.8652599535510846,0.2162825845029693,0.17878209674985093,0.07542797744148637,0.0020396612607474942
Foldseek__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.5840396906384698,0.846616294377954,0.2217853520191011,0.24823453027249862,0.11849500892020537,0.004407613793131267
Foldseek__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.44507897356826265,0.7996085993363808,0.23341708326853605,0.12991707400879218,0.07156787313415519,0.0037995928881855664
Foldseek__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.14556521345925583,0.6579217757521565,0.21136412298167412,0.1561042006596355,0.1708453279043417,0.0020561239884300947
Foldseek__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.0016615245428970836,0.4995007463853989,0.20922934575796115,,,
Foldseek__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.255791099181813,0.7226462862962941,0.2130156915288534,0.1723400145264206,0.05248212510847532,0.0008105676408338675
Foldseek__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.21128883671976662,,,
Foldseek__with_minor_reactions,Protists_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.6825396825396824,0.9994987887219718,0.21216388552873733,,,
Foldseek__with_minor_reactions,Bacteria_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.4799432190169529,0.9339535616643385,0.21318579601923107,0.17662118398031426,0.08138639173345906,0.0013193497433099525
Foldseek__with_minor_reactions,Bacteria_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.14044803130440742,0.6225434383634987,0.21193712621169938,,,
Foldseek__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,0.8950117816382969,0.9581573969457956,0.2209917900653839,0.08836024083346283,0.036860516111587964,0.0036754612249963684
Foldseek__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.42107490610802784,0.8289861416077187,0.21893834289777775,0.09304641574875054,0.06524514062121774,0.001992263044332655
Foldseek__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.21131888618156058,,,
Foldseek__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.21263271197307781,,,
Foldseek__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.0019946900497033447,0.49950066338537885,0.20921050588561005,,,
Foldseek__with_minor_reactions,Bacteria_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.21130860642294358,,,
Foldseek__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.21409039280603248,,,
Blastp__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8402585917801024,0.9504901691816873,0.2424227338768013,0.0300404555304745,0.006937195395014039,0.010338181630212141
Blastp__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,1.0,1.0,0.21191174127893286,,,
Blastp__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7182068884728823,0.9543387381689914,0.21497975966493937,0.10135863051057169,0.02738028814146538,0.0012182001144070496
Blastp__with_minor_reactions,Plants_|_CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.5947319120817449,0.8616181521768764,0.2162825845029693,0.2561652097316646,0.13148524141056614,0.0020396612607474942
Blastp__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8755110135694085,0.988637989568565,0.2217853520191011,0.08649871401869502,0.017030239112696004,0.004407613793131267
Blastp__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.6790255339585229,0.9045047656760165,0.22949422703650924,0.06620576572531142,0.03204785362291405,0.006576450091241878
Blastp__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.49590482593930696,0.8915432293360913,0.21244966391133485,0.155597723955098,0.10401729929231208,0.0009267770309739214
Blastp__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.38551802001403196,0.8881400913852936,0.2115280005491821,,,
Blastp__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.4679049180944241,0.860243819229089,0.2130156915288534,0.10324228966391695,0.09682591808303341,0.0008105676408338675
Blastp__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.21128883671976662,,,
Blastp__with_minor_reactions,Protists_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7222222222222223,0.9995823309107772,0.21216388552873733,,,
Blastp__with_minor_reactions,Bacteria_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.6273723784934547,0.9792712096412999,0.22584669467578267,0.17445607657762544,0.04459405892719566,0.029028470183787448
Blastp__with_minor_reactions,Bacteria_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.4379472296624919,0.8079601050301652,0.21193712621169938,,,
Blastp__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,0.9777089783281735,0.9999069548591466,0.2209917900653839,0.03060164406972526,0.00012740758777605554,0.0036754612249963684
Blastp__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.5384523887555211,0.8736243956883977,0.21805301166799396,0.21168839121221358,0.09053063694472784,0.003843718772626331
Blastp__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.21131888618156058,,,
Blastp__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.21263271197307781,,,
Blastp__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.17153421572789007,0.7049727604198194,0.2119474127721553,,,
Blastp__with_minor_reactions,Bacteria_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.21130860642294358,,,
Blastp__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.6263876040703052,0.8125,0.21409039280603248,,,
HMM__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.4821381812267978,0.981835999888929,0.5057972757908666,0.032561788374467424,0.0016284695618625496,0.09921762858860289
HMM__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,1.0,1.0,0.3247629903591451,,,
HMM__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.29557560718851045,0.9946816967903522,0.459171411748957,0.06030050232324988,0.000864145079189995,0.05775280744430343
HMM__with_minor_reactions,Plants_|_CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.08637087335913454,0.9709385776609162,0.25604036126933405,0.024439804424861947,0.0022589251789155423,0.02699574744430998
HMM__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.45921092429154553,0.9869681517650918,0.5925866706595668,0.10997704334209418,0.01691218127479385,0.07022787976911364
HMM__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.2969624324250474,0.9766489701911301,0.3673211545360232,0.037514132535925906,0.001346735637264256,0.07715847059546431
HMM__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.28371684501224526,0.9717969494707297,0.42816150344834114,0.09964957134557476,0.05493769949045318,0.07731622769623599
HMM__with_minor_reactions,Animals_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.20145643963810714,0.9550798813973466,0.36049338342217335,,,
HMM__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.20764037467512403,0.99393418091643,0.4193974325512545,0.045222983874567246,0.002254433601582302,0.02981759436246853
HMM__with_minor_reactions,Fungi_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,1.0,1.0,0.4369921062810921,,,
HMM__with_minor_reactions,Protists_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.3922751322751323,0.9981791988320836,0.4380498895039828,,,
HMM__with_minor_reactions,Bacteria_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.3322590082608895,0.9767733312540982,0.4748712968303713,0.12758052133640235,0.04417205964449656,0.08921679148034464
HMM__with_minor_reactions,Bacteria_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.209202529321038,0.9646351746557353,0.41030913499718624,,,
HMM__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,0.963423264042459,0.9998603565366861,0.3699366895113764,0.03406994080101264,0.00012747683323406533,0.13560544814050726
HMM__with_minor_reactions,Plants_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.11759560193689204,0.9711740836700251,0.30027556693082624,0.02682916225312932,0.0018566769797409436,0.05458658888949889
