Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
Foldseek__with_minor_reactions,0.44435385335801403,0.3988888526062219,0.48981885410980613,0.7598019645555273,0.7367608711329652,0.7828430579780894,0.24978295929228783,0.24202148687128516,0.2575444317132905
Blastp__with_minor_reactions,0.681193929315727,0.631481938913079,0.7309059197183749,0.89399800987647,0.8722509330995422,0.9157450866533979,0.25170280766374337,0.2455067181571279,0.25789889717035885
HMM__with_minor_reactions,0.4724831621648551,0.4334354116378729,0.5115309126918373,0.9701444975529245,0.9638333872308237,0.9764556078750254,0.47788788061456416,0.45298080438793836,0.5027949568411899
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning_domains_subset,0.9026951994136962,0.8752155152324151,0.9301748835949774,0.9918730616990551,0.9866209927537121,0.9971251306443981,0.6028546544773588,0.5846476885225265,0.621061620432191
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8997136468531647,0.8736354022978896,0.9257918914084398,0.9941134781135591,0.9912668795598326,0.9969600766672856,0.5375807076216623,0.5200704989957005,0.5550909162476242
PlmDomainsRandomForest__esm-2_with_minor_reactions_global_tuning,0.8878227843958474,0.8574238790555001,0.9182216897361947,0.9942767003861502,0.9911062432839581,0.9974471574883423,0.5573470325081215,0.5371643928589769,0.577529672157266
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions,0.881526474471242,0.8516742720767183,0.9113786768657657,0.9930439633337799,0.9892109612609351,0.9968769654066246,0.5853265001067688,0.5682256514457819,0.6024273487677557
PlmDomainsRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.9068983360357822,0.8854181492759008,0.9283785227956636,0.9935339277033163,0.9901458417755379,0.9969220136310947,0.5571937285065601,0.5344601560889776,0.5799273009241427
PlmDomainsRandomForest__esm-1v_with_minor_reactions_global_tuning,0.8725234351979844,0.8414857290910054,0.9035611413049633,0.9928988469740413,0.9896704818659575,0.9961272120821251,0.5560139375988892,0.5345217831625475,0.5775060920352308
PlmDomainsRandomForest__ankh_large_with_minor_reactions_global_tuning,0.8888879352879514,0.8560028805400085,0.9217729900358943,0.992277026529079,0.9858066430350664,0.9987474100230916,0.5463575420558211,0.5237802924370619,0.5689347916745803
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions_global_tuning,0.8911972043614014,0.8645356630556293,0.9178587456671734,0.9940148337962341,0.9910968634099503,0.996932804182518,0.5707469502846754,0.5460140526521202,0.5954798479172305
PlmDomainsRandomForest__esm-1v_with_minor_reactions,0.8791311752991509,0.8508295429306294,0.9074328076676723,0.993244186136927,0.9896338467714261,0.9968545255024279,0.5680260709385698,0.546324618768602,0.5897275231085376
PlmDomainsRandomForest__ankh_base_with_minor_reactions_global_tuning,0.889056717320539,0.8516488799316497,0.9264645547094283,0.9947773693081348,0.9917585050876517,0.9977962335286178,0.5751711810789463,0.5515363581530889,0.5988060040048037
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions,0.8767638645666178,0.846037529689606,0.9074901994436296,0.9924580315311705,0.9885152917401019,0.9964007713222391,0.5933961887912321,0.5720987466327166,0.6146936309497476
PlmDomainsRandomForest__ankh_base_with_minor_reactions,0.8810807394557972,0.8513871872569847,0.9107742916546098,0.9929521884093525,0.9891139102130212,0.9967904666056838,0.5844941343577387,0.5669872441619481,0.6020010245535292
