Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
Foldseek__with_minor_reactions,0.5732512602775935,,,0.8409116476192686,,,0.21642084449549098,,
Blastp__with_minor_reactions,0.7079343360585242,,,0.9238667355636109,,,0.21677245546968785,,
HMM__with_minor_reactions,0.5240526120855642,,,0.9842138538650008,,,0.4028708274425541,,
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning_domains_subset,0.9238534152876327,,,0.9984209830467934,,,0.549142711451717,,
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8179510636346855,,,0.9942716940866203,,,0.476366883609073,,
PlmDomainsRandomForest__esm-2_with_minor_reactions_global_tuning,0.8097617510036699,,,0.998089288468283,,,0.48843106450622625,,
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions,0.8013114718575949,,,0.9977209841109556,,,0.517904751820192,,
PlmDomainsRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.8184124832751388,,,0.9953228167987194,,,0.48637273651561497,,
PlmDomainsRandomForest__esm-1v_with_minor_reactions_global_tuning,0.8096808364642367,,,0.9968521477374832,,,0.4867222926606952,,
PlmDomainsRandomForest__ankh_large_with_minor_reactions_global_tuning,0.8156094556712947,,,0.9978213241665564,,,0.4835193531994399,,
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions_global_tuning,0.8081881349628283,,,0.9952631613873967,,,0.4984757481901146,,
PlmDomainsRandomForest__esm-1v_with_minor_reactions,0.8019908129843587,,,0.998290989840944,,,0.4999759448554957,,
PlmDomainsRandomForest__ankh_base_with_minor_reactions_global_tuning,0.8365099793447811,,,0.998806689285652,,,0.5112512621118468,,
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions,0.8068534406657422,,,0.9983316412102727,,,0.5160449184020566,,
PlmDomainsRandomForest__ankh_base_with_minor_reactions,0.8039113269337322,,,0.99766688975455,,,0.5175489453642915,,
PlmDomainsRandomForest__esm-2_with_minor_reactions,0.7975216042255988,,,0.9979903368685015,,,0.5089244955023957,,
PlmDomainsRandomForest__tps_esm-1v_with_minor_reactions,0.8090533982381445,,,0.9979472174853884,,,0.505565351638318,,
PlmDomainsRandomForest__ankh_large_with_minor_reactions,0.8036279840464239,,,0.9978439546894254,,,0.5070886393610696,,
CLEAN__with_minor_reactions,0.2698929132597353,,,0.7707748932810963,,,0.34655376300990864,,
PlmDomainsMLP__esm-2_with_minor_reactions_global_tuning,0.8012071073041087,,,0.998803130995391,,,0.4493545811054089,,
PlmDomainsMLP__tps_ankh_base_with_minor_reactions,0.7865530772376308,,,0.9981775695157207,,,0.43337387297429697,,
PlmDomainsMLP__tps_esm-1v_with_minor_reactions_global_tuning,0.8335631162807158,,,0.9982521869441218,,,0.4377721326971885,,
PlmDomainsMLP__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8413979487329251,,,0.9983837368659577,,,0.43871664775715297,,
PlmDomainsMLP__esm-1v_with_minor_reactions_global_tuning,0.8008516334643234,,,0.9963839883012712,,,0.4364452850389965,,
PlmDomainsMLP__tps_ankh_base_with_minor_reactions_global_tuning,0.8155183022408669,,,0.9988094016772148,,,0.44839185893318123,,
PlmDomainsMLP__esm-1v_with_minor_reactions,0.8109583292300627,,,0.9975629546124333,,,0.4362687285149828,,
PlmDomainsMLP__tps_esm-1v-subseq_with_minor_reactions,0.8196139872107541,,,0.9974255810766668,,,0.43539308311345026,,
PlmDomainsMLP__ankh_base_with_minor_reactions,0.7865530772376308,,,0.9981775695157207,,,0.43337387297429697,,
PlmDomainsMLP__esm-2_with_minor_reactions,0.8189307950449823,,,0.9985663152183829,,,0.4374208528836929,,
PlmDomainsMLP__tps_esm-1v_with_minor_reactions,0.8301411725330734,,,0.9984012338321746,,,0.43775343420858237,,
PlmDomainsMLP__ankh_large_with_minor_reactions,0.8109604844050716,,,0.9988912841629423,,,0.44117463943055135,,
PlmXgb__tps_ankh_base_with_minor_reactions,0.8122840082500046,,,0.9981433711665637,,,0.43710884922257015,,
PlmXgb__esm-1v_with_minor_reactions,0.8113843582849455,,,0.9985833295404898,,,0.4362089950228378,,
PlmXgb__tps_esm-1v-subseq_with_minor_reactions,0.8059489781253916,,,0.9985238370707865,,,0.4411338179033109,,
PlmXgb__ankh_base_with_minor_reactions,0.8043582743075974,,,0.9980834342253722,,,0.44136845689486837,,
PlmXgb__esm-2_with_minor_reactions,0.8153423957715228,,,0.9979075581164955,,,0.4366375610997998,,
PlmXgb__tps_esm-1v_with_minor_reactions,0.8153089166328886,,,0.9982113828801051,,,0.4374255235168345,,
PlmXgb__ankh_large_with_minor_reactions,0.799894647939155,,,0.9988296840266836,,,0.44371746430541387,,
DomainsRandomForest__with_minor_reactions,0.8468656336716964,,,0.9662906962504799,,,0.5877090995452393,,
DomainsRandomForest__with_minor_reactions_global_tuning,0.8458717705621709,,,0.9728009780714,,,0.5902442411248093,,
PlmRandomForest__esm-2_with_minor_reactions_global_tuning,0.8096141364207299,,,0.9974965126688934,,,0.4997206856031081,,
PlmRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.8196551627507827,,,0.9980638398980985,,,0.48154011683832065,,
PlmRandomForest__esm-1v_with_minor_reactions_global_tuning,0.8085814875797617,,,0.9962915389430883,,,0.4710806469514407,,
PlmRandomForest__ankh_large_with_minor_reactions_global_tuning,0.8180542735306826,,,0.9981591823148698,,,0.5045044246816068,,
PlmRandomForest__ankh_base_with_minor_reactions_global_tuning,0.80758429920306,,,0.9952229398026222,,,0.5118091894599045,,
PlmRandomForest__tps_ankh_base_with_minor_reactions,0.8018403938472686,,,0.9980053466389153,,,0.5205185170412597,,
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8148189421224465,,,0.9959723977287253,,,0.493883348093498,,
PlmRandomForest__tps_ankh_base_with_minor_reactions_global_tuning,0.8097232957401035,,,0.9978819191138706,,,0.5037306142710299,,
PlmRandomForest__esm-1v_with_minor_reactions,0.8025974521069861,,,0.9984561779558015,,,0.5065235201403006,,
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions,0.8065427861660996,,,0.9984293228642912,,,0.5315585751885501,,
PlmRandomForest__ankh_base_with_minor_reactions,0.8004076474585016,,,0.9981409014339203,,,0.5176452619871841,,
PlmRandomForest__esm-2_with_minor_reactions,0.8014745126167755,,,0.9978115290289289,,,0.5082618713972885,,
PlmRandomForest__tps_esm-1v_with_minor_reactions,0.8110656321356686,,,0.9982464669691897,,,0.5274989700588024,,
PlmRandomForest__ankh_large_with_minor_reactions,0.799359708973619,,,0.9972348414986992,,,0.5088492342242792,,
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,0.8522039056579305,,,0.9973085267785284,,,0.4374455861331554,,
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions,0.8329943623360203,,,0.9902363340463075,,,0.43466342345080144,,
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions_global_tuning,0.8762784540490035,,,0.9986606617841568,,,0.4404296858782176,,
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8787285242973993,,,0.9985434309261239,,,0.4412950683587168,,
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions_global_tuning,0.8738299975521052,,,0.9980616079205257,,,0.4414386362747081,,
