Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
Foldseek__with_minor_reactions,0.8668812148479507,0.8449914354040743,0.888770994291827,0.9442038166812117,0.9297060900901439,0.9587015432722794,0.32240671032468543,0.318348160635288,0.3264652600140829
Blastp__with_minor_reactions,0.9206133981911971,0.9076603377707335,0.9335664586116608,0.9752859031111033,0.9663087661559522,0.9842630400662544,0.2950308889322305,0.2805059956729368,0.3095557821915242
HMM__with_minor_reactions,0.9203168295995685,0.8932949121967372,0.9473387470023998,0.9901303021900087,0.9862830566146991,0.9939775477653184,0.7962919271407414,0.7791164533808966,0.8134674009005861
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning_domains_subset,0.997719386626005,0.9956124554820815,0.9998263177699285,0.9995417223682874,0.9988722414555736,1.000211203281001,0.7425926232057336,0.6460962060943349,0.8390890403171323
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.9695446065032636,0.9525420958780493,0.9865471171284779,0.9975222934247838,0.9958611092352531,0.9991834776143146,0.6332104258371603,0.5723352529035803,0.6940855987707402
PlmDomainsRandomForest__esm-2_with_minor_reactions_global_tuning,0.9773961062695353,0.9621473849603012,0.9926448275787695,0.9975721690583373,0.9956471701627506,0.9994971679539241,0.6584521950440131,0.5838728725565786,0.7330315175314476
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions,0.9781592860487531,0.9681597644178837,0.9881588076796226,0.9975739098518916,0.9959304488152748,0.9992173708885085,0.706573546411761,0.6289437192576363,0.7842033735658857
PlmDomainsRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.9751239278228875,0.9580378164620316,0.9922100391837434,0.9973620791421732,0.9953116184549913,0.9994125398293552,0.6423641329131089,0.5902179395786157,0.6945103262476021
PlmDomainsRandomForest__esm-1v_with_minor_reactions_global_tuning,0.9778551032184483,0.9635289675297326,0.9921812389071639,0.9975045406946614,0.9952963651515528,0.99971271623777,0.6496542019137662,0.58356780026591,0.7157406035616224
PlmDomainsRandomForest__ankh_large_with_minor_reactions_global_tuning,0.9692222304434861,0.9520881245822964,0.9863563363046758,0.9971155600037225,0.9952283923736565,0.9990027276337885,0.6633264812654641,0.5787619772403823,0.747890985290546
PlmDomainsRandomForest__tps_ankh_base_with_minor_reactions_global_tuning,0.9762312240119989,0.9595680607415722,0.9928943872824256,0.9974282109538418,0.9958023616589997,0.9990540602486839,0.6705563137154439,0.5987502822209947,0.7423623452098931
PlmDomainsRandomForest__esm-1v_with_minor_reactions,0.974468644831234,0.9545902419600545,0.9943470477024134,0.997854898802534,0.9963336900931234,0.9993761075119445,0.7187879796663735,0.6664284343190128,0.7711475250137343
PlmDomainsRandomForest__ankh_base_with_minor_reactions_global_tuning,0.9822102434374669,0.966001448938579,0.9984190379363548,0.9979610019368668,0.9961624991928099,0.9997595046809237,0.6903297117589425,0.5896809342929077,0.7909784892249774
PlmDomainsRandomForest__tps_esm-1v-subseq_with_minor_reactions,0.972431197023444,0.9576996189040454,0.9871627751428427,0.9976628927336615,0.995899355848511,0.999426429618812,0.7103534858681186,0.6481142771872046,0.7725926945490327
PlmDomainsRandomForest__ankh_base_with_minor_reactions,0.9807386447049062,0.9757931713591884,0.9856841180506241,0.9976889460997038,0.9960384439397764,0.9993394482596313,0.7245294066370149,0.6522156822115159,0.7968431310625139
PlmDomainsRandomForest__esm-2_with_minor_reactions,0.976576679781729,0.9581439777715048,0.9950093817919532,0.9979407972248018,0.9968706494529181,0.9990109449966854,0.7547813690298799,0.6912062997838754,0.8183564382758844
PlmDomainsRandomForest__tps_esm-1v_with_minor_reactions,0.9764036489493346,0.9619118762677643,0.9908954216309049,0.9978064095593918,0.9964716275540715,0.9991411915647121,0.6647141144887214,0.6090419632042523,0.7203862657731905
PlmDomainsRandomForest__ankh_large_with_minor_reactions,0.9755539128891076,0.9644659949614582,0.986641830816757,0.9979011011980617,0.9967142014294545,0.9990880009666689,0.7319546055695653,0.673341135135639,0.7905680760034915
CLEAN__with_minor_reactions,0.6774440315517216,0.6667480242045574,0.6881400388988859,0.9707352770753699,0.9682329375936876,0.9732376165570522,0.48375307336300766,0.4722111272295952,0.49529501949642013
PlmDomainsMLP__esm-2_with_minor_reactions_global_tuning,0.9833424948903143,0.9746701299067132,0.9920148598739155,0.9988367318019253,0.9983988298409364,0.9992746337629143,0.597797475555856,0.5974744769065571,0.598120474205155
PlmDomainsMLP__tps_ankh_base_with_minor_reactions,0.9701860461213421,0.9604079050294071,0.979964187213277,0.9980874493294698,0.9974816051470154,0.9986932935119242,0.5995551683913541,0.596090310278292,0.6030200265044163
PlmDomainsMLP__tps_esm-1v_with_minor_reactions_global_tuning,0.9778561051123182,0.967162400095761,0.9885498101288754,0.998312579692677,0.9974674362002114,0.9991577231851425,0.598061404293948,0.5951702319570744,0.6009525766308217
PlmDomainsMLP__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.9795655874987597,0.9703517257121451,0.9887794492853742,0.9983048733115908,0.9976446481267318,0.9989650984964498,0.5978865925464991,0.5941630429537361,0.6016101421392621
PlmDomainsMLP__esm-1v_with_minor_reactions_global_tuning,0.9757510364163324,0.971931469225596,0.9795706036070688,0.9980661434593453,0.9975600869803938,0.9985721999382968,0.5994503333971002,0.5950632651240357,0.6038374016701646
PlmDomainsMLP__tps_ankh_base_with_minor_reactions_global_tuning,0.9859190724926439,0.9842375066867549,0.9876006382985328,0.9988680812810774,0.998863572198485,0.9988725903636698,0.5997003816476423,0.5974799949487,0.6019207683465846
PlmDomainsMLP__esm-1v_with_minor_reactions,0.9799265293440259,0.9711923703423384,0.9886606883457134,0.9985184820913504,0.9978430058030577,0.9991939583796431,0.5984944438353696,0.5954641461365249,0.6015247415342144
PlmDomainsMLP__tps_esm-1v-subseq_with_minor_reactions,0.982275754743348,0.9692793392615185,0.9952721702251776,0.998590628492571,0.9977722749683834,0.9994089820167585,0.5983826111300935,0.5963036100879392,0.6004616121722478
PlmDomainsMLP__ankh_base_with_minor_reactions,0.9701860461213421,0.9604079050294071,0.979964187213277,0.9980874493294698,0.9974816051470154,0.9986932935119242,0.5995551683913541,0.596090310278292,0.6030200265044163
PlmDomainsMLP__esm-2_with_minor_reactions,0.9769966358835201,0.9645289930470093,0.989464278720031,0.9983561838451085,0.9976092768336677,0.9991030908565492,0.5992668032698091,0.5970712303086524,0.6014623762309658
PlmDomainsMLP__tps_esm-1v_with_minor_reactions,0.9806511387989156,0.9704121334312076,0.9908901441666237,0.9984754092252406,0.9977509903944322,0.999199828056049,0.5989085688703264,0.5953052653955582,0.6025118723450946
PlmDomainsMLP__ankh_large_with_minor_reactions,0.9708515343602105,0.9605969766201896,0.9811060921002315,0.9981787215072984,0.9976491974988972,0.9987082455156995,0.5984095133955378,0.5942115196697108,0.6026075071213649
PlmXgb__tps_ankh_base_with_minor_reactions,0.9754358727574557,0.9619652778495227,0.9889064676653887,0.9973818129360355,0.9951273652453606,0.9996362606267103,0.6326218323747835,0.6004574123507307,0.6647862523988364
PlmXgb__esm-1v_with_minor_reactions,0.9789729531426714,0.9648477166219407,0.9930981896634021,0.9976319885595102,0.9951955339745745,1.0000684431444458,0.6051591447748842,0.5943114558924973,0.616006833657271
PlmXgb__tps_esm-1v-subseq_with_minor_reactions,0.9788011896375653,0.9683752193065807,0.98922715996855,0.997620891018139,0.995353904898814,0.999887877137464,0.6000773256782501,0.5934607019397053,0.6066939494167949
PlmXgb__ankh_base_with_minor_reactions,0.9826361715924472,0.9729995611205776,0.9922727820643168,0.9976663660155202,0.9952658995955156,1.0000668324355249,0.6123806968850419,0.5842451308596596,0.6405162629104243
PlmXgb__esm-2_with_minor_reactions,0.9818285029213737,0.9696431983101668,0.9940138075325806,0.9978759887482687,0.9959515648312289,0.9998004126653084,0.6007207738523823,0.5956018618975225,0.6058396858072421
PlmXgb__tps_esm-1v_with_minor_reactions,0.9815059018119907,0.9670177892627392,0.9959940143612422,0.9976421581846184,0.9953588636323029,0.999925452736934,0.600573966788413,0.59636665881526,0.6047812747615661
PlmXgb__ankh_large_with_minor_reactions,0.9773887323766711,0.9670516658810128,0.9877257988723295,0.9976643158214671,0.9956498531156327,0.9996787785273015,0.6379889334979426,0.5747043567990904,0.7012735101967948
DomainsRandomForest__with_minor_reactions,0.9767098892336531,0.9682145539183628,0.9852052245489434,0.9872536761957861,0.9825746912650969,0.9919326611264753,0.8275140195488273,0.8055187022471663,0.8495093368504884
DomainsRandomForest__with_minor_reactions_global_tuning,0.9768198297519721,0.9683027286520738,0.9853369308518705,0.9872688524749474,0.9825861007860626,0.9919516041638323,0.8149832936103595,0.7780934625776313,0.8518731246430876
PlmRandomForest__esm-2_with_minor_reactions_global_tuning,0.978791022569248,0.9668116268597824,0.9907704182787136,0.9976158689223137,0.9957705208876303,0.9994612169569971,0.6657619616334498,0.6183378940403398,0.7131860292265598
PlmRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.9724862408235266,0.9556199676632445,0.9893525139838087,0.9975559197578917,0.9957556014345598,0.9993562380812236,0.6577757203454124,0.583258268582597,0.7322931721082279
PlmRandomForest__esm-1v_with_minor_reactions_global_tuning,0.9776918660556383,0.9655415052773871,0.9898422268338894,0.9976524590730594,0.9956824687431617,0.9996224494029572,0.6391927753010136,0.5860044777147068,0.6923810728873204
PlmRandomForest__ankh_large_with_minor_reactions_global_tuning,0.9762843860076025,0.9652032251120168,0.9873655469031881,0.9972114734367092,0.9946563328221447,0.9997666140512738,0.6851105599311185,0.6268342804930181,0.7433868393692188
PlmRandomForest__ankh_base_with_minor_reactions_global_tuning,0.9755044809045852,0.9644337510238632,0.9865752107853072,0.9975574407937812,0.9958563482477847,0.9992585333397777,0.6992887798031575,0.6211248363111173,0.7774527232951978
PlmRandomForest__tps_ankh_base_with_minor_reactions,0.9769654388903881,0.967355876320892,0.9865750014598842,0.9970375134887005,0.9953863685984112,0.9986886583789898,0.705855038901648,0.6538259118797158,0.7578841659235802
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.9701441623661804,0.9487699355793401,0.9915183891530207,0.9973575781832992,0.9954222028051697,0.9992929535614287,0.6422000046084648,0.5894087558911606,0.694991253325769
PlmRandomForest__tps_ankh_base_with_minor_reactions_global_tuning,0.9787197953384543,0.969950130669043,0.9874894600078656,0.997422567434825,0.9954550493275188,0.9993900855421313,0.6708074030652724,0.607050745525342,0.7345640606052029
PlmRandomForest__esm-1v_with_minor_reactions,0.9734446804597547,0.9517602988750095,0.9951290620445,0.9978093258324275,0.9962870556888758,0.9993315959759793,0.7043288897334513,0.6609667644672003,0.7476910149997024
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions,0.9738167060610632,0.9590250047656095,0.9886084073565169,0.997632847218275,0.9957701175215212,0.9994955769150289,0.6750686233192708,0.6117947953199473,0.7383424513185942
PlmRandomForest__ankh_base_with_minor_reactions,0.9764985489111755,0.9675112209706186,0.9854858768517324,0.9972160529680576,0.9955410243008893,0.9988910816352259,0.7142818648276187,0.6472311586171822,0.7813325710380552
PlmRandomForest__esm-2_with_minor_reactions,0.9743968123941332,0.9507951657935129,0.9979984589947536,0.997916247071346,0.9967883143036104,0.9990441798390816,0.7427621297664497,0.6693655958249101,0.8161586637079894
PlmRandomForest__tps_esm-1v_with_minor_reactions,0.974758439587692,0.955430192923104,0.99408668625228,0.9975832407328845,0.9956351046179298,0.9995313768478392,0.6897765271894221,0.63767854573179,0.7418745086470542
