Uniprot ID,Substrate (including stereochemistry),Name of product,Class (I or II)
A0A6P6W6H5,"(2E,6E)-FPP",trans-β-farnesene,Class I
XsTC-1,"(2E,6E,10E)-GGPP",xeniaphyllene,Class I
XsTC-1,"(2E,6E)-FPP",(+)-β-caryophyllene,Class I
XsTC-1,"(2E,6E)-FPP",elemol,Class I
X5AHD9,(+)-copalyl diphosphate,miltiradiene,Class I
X5A4D6,"(2E,6E,10E)-GGPP",(+)-copalyl diphosphate,Class II
X5A2Z7,copal-8-ol diphosphate(3−),(13R)-Manoyl oxide,Class I
X4ZWN5,"(2E,6E,10E)-GGPP",copal-8-ol diphosphate(3−),Class II
WP_092528762.1,"(2E,6E,10E)-GGPP","(Z)-eunicellane benditerpe-2,6,15-triene",Class I
WP_092528762.1,"(2E,6E,10E)-GGPP",(R)-(–)-cembrene A,Class I
WP_089795910.1,"(2E,6E,10E)-GGPP",ent-bonnadiene,Class I
WP_089795910.1,"(2E,6E,10E)-GGPP",wanjudiene,Class I
WDE20679.1,(2E)-GPP,β-myrcene,Class I
WDE20679.1,(2E)-GPP,(E)-β-ocimene,Class I
WDE20679.1,(2E)-GPP,(Z)-β-ocimene,Class I
WDE20678.1,"(2E,6E)-FPP",(+)-bicyclogermacrene,Class I
WDE20678.1,(2E)-GPP,β-myrcene,Class I
WDE20678.1,(2E)-GPP,(E)-β-ocimene,Class I
WDE20677.1,"(2E,6E)-FPP",(-)-germacrene D,Class I
WDE20677.1,(2E)-GPP,β-myrcene,Class I
WDE20677.1,(2E)-GPP,(E)-β-ocimene,Class I
WDE20677.1,(2E)-GPP,(Z)-β-ocimene,Class I
WDE20676.1,"(2E,6E)-FPP",(+)-bicyclogermacrene,Class I
W8QMF8,"(2E,6E,10E)-GGPP",miltiradiene,Class II
W8QEG7,"(2E,6E,10E)-GGPP",miltiradiene,Class II
W8NXF3,"(2E,6E)-FPP",(−)-germacrene A,Class I
W6QAE7,"(2E,6E,10E)-GGPP",penichrysol,Class I
W6QAE7,"isopentenyl PP; (2E,6E)-FPP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
W6Q4Q9,"(2E,6E)-FPP",(+)-aristolochene,Class I
W6HUT3,(2E)-GPP,sabinene,Class I
W6HUT3,(2E)-GPP,α-thujene,Class I
W6HUT3,(2E)-GPP,α-pinene,Class I
W6HUT3,(2E)-GPP,β-pinene,Class I
W6HUT3,(2E)-GPP,β-myrcene,Class I
W6HUT3,(2E)-GPP,α-phellandrene,Class I
W6HUT3,(2E)-GPP,α-terpinene,Class I
W6HUT3,(2E)-GPP,β-phellandrene,Class I
W6HUT3,(2E)-GPP,γ-terpinene,Class I
W6HUT3,(2E)-GPP,terpinolene,Class I
W4JX79,"(2E,6E)-FPP",Δ6-protoilludene,Class I
W0FFD7,"(2E,6E)-FPP",drimenol,Class I
UTU07507,"(S)-2,3-epoxysqualene",lupeol,Class II
UTU07506,"(S)-2,3-epoxysqualene","tirucalla-7,24-dien-3β-ol",Class II
UPI41567.1,"(2E,6E,10E)-GGPP",cembrene C,Class I
UPI41561.1,"(2E,6E,10E)-GGPP",klysimplexin R,Class I
U5Y4T6,"(2E,6E)-FPP",(−)-β-caryophyllene,Class I
U5PZT6,(2E)-GPP,linalool,Class I
U5PZT6,"(2E,6E)-FPP",α-bergamotene,Class I
U5N1F1,"(2E,6E)-FPP","guaia-1(10),11-diene",Class I
U5N0S4,"(2E,6E)-FPP",(+)-δ-cadinene,Class I
U3LW50,"(2E,6E)-FPP",τ-cadinol,Class I
