From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	SUPFAM	Pfam	InterPro
A0A6P6W6H5	A0A6P6W6H5	reviewed	TPS1_COFAR	Limonene synthase, chloroplastic (EC 4.2.3.-) (Alpha-pinene synthase, chloroplastic) (EC 4.2.3.-) (Beta-farnesene synthase, chloroplastic) (EC 4.2.3.47) (Beta-myrcene synthase, chloroplastic) (EC 4.2.3.15) (Beta-pinene synthase, chloroplastic) (EC 4.2.3.-) (Sabinene synthase, chloroplastic) (EC 4.2.3.-) (Terpinolene synthase, chloroplastic) (EC 4.2.3.113)	TPS1 LOC113729710	Coffea arabica (Arabian coffee)	606	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
X5AHD9	X5AHD9	unreviewed	X5AHD9_9LAMI	Diterpene synthase TPS4 (EC 4.2.3.-)		Plectranthus barbatus	587	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR001906;IPR036965;IPR005630;IPR008930;
X5A4D6	X5A4D6	unreviewed	X5A4D6_9LAMI	Diterpene synthase TPS1 (EC 5.5.1.12)		Plectranthus barbatus	786	SSF48239;SSF48576;	PF01397;	IPR008949;IPR050148;IPR001906;IPR036965;IPR008930;
X5A2Z7	X5A2Z7	unreviewed	X5A2Z7_9LAMI	Diterpene synthase TPS3 (EC 4.2.3.-)		Plectranthus barbatus	598	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR001906;IPR036965;IPR005630;IPR008930;
X4ZWN5	X4ZWN5	unreviewed	X4ZWN5_9LAMI	Diterpene synthase TPS2 (EC 5.5.1.-)		Plectranthus barbatus	773	SSF48239;SSF48576;	PF01397;	IPR008949;IPR050148;IPR001906;IPR036965;IPR008930;
W8QMF8	W8QMF8	unreviewed	W8QMF8_ROSOF	Kaurene synthase-like 1	KSL1	Rosmarinus officinalis (Rosemary) (Salvia rosmarinus)	592	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR001906;IPR036965;IPR005630;IPR008930;
W8QEG7	W8QEG7	unreviewed	W8QEG7_ROSOF	Kaurene synthase-like 2	KSL2	Rosmarinus officinalis (Rosemary) (Salvia rosmarinus)	590	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR001906;IPR036965;IPR005630;IPR008930;
W8NXF3	W8NXF3	unreviewed	W8NXF3_POGCB	Patchoulol synthase variant 1 (EC 4.2.3.70)		Pogostemon cablin (Patchouli) (Mentha cablin)	552	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
W6QAE7	W6QAE7	reviewed	PRDS_PENRF	Conidiogenone synthase (Bifunctional terpene synthase PrDS) (BFTS PrDS) (Conidiogenone biosynthesis cluster protein PrDS) (Diterpene synthase PrDS) (DS) [Includes: Terpene cyclase (EC 4.2.3.-); Geranylgeranyl diphosphate synthase (GGDP synthase) (GGS) (EC 2.5.1.29)]	PrDS PROQFM164_S02g003147	Penicillium roqueforti (strain FM164)	742	SSF48576;	PF00348;PF19086;	IPR008949;IPR000092;IPR033749;
W6Q4Q9	W6Q4Q9	reviewed	PRX2_PENRF	Aristolochene synthase (AS) (EC 4.2.3.9) (PR-toxin biosynthesis cluster protein 2) (Sesquiterpene cyclase)	prx2 ari1 ORF2 PROQFM164_S02g001465	Penicillium roqueforti (strain FM164)	342	SSF48576;	PF19086;	IPR008949;IPR050225;
W6HUT3	W6HUT3	reviewed	TPS7_HEDCO	Monoterpene synthase 7, chloroplastic (HcTPS7) (Alpha-pinene synthase) (EC 4.2.3.-) (Alpha-terpinene synthase) (EC 4.2.3.115) (Beta-phellandrene synthase) (EC 4.2.3.-) (Beta-pinene synthase) (EC 4.2.3.-) (Gamma-terpinene synthase) (EC 4.2.3.114) (Myrcene synthase) (EC 4.2.3.15) (Sabinene synthase) (EC 4.2.3.-) (Terpinolene synthase) (EC 4.2.3.113)	TPS7	Hedychium coronarium (White butterfly ginger-lily)	593	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
